index,"areas","lat","lon"
591,"Giri",30.47,77.68
592,"Giridih",24.17,86.35
593,"Goa",15.55,73.98
594,"Goa",15.55,73.98
595,"Goalpara",26.17,90.67
596,"Goaltor",22.72,87.17
597,"Godavari",16.42,82.3
598,"Godavari Pt.",17,82.33
599,"Godda",24.83,87.22
600,"Godhra",22.82,73.67
601,"Gogra= Ghaghara",25.75,84.67
602,"Gohana",29.13,76.7
603,"Goharganj",23.02,77.68
604,"Goi",22.07,74.77
605,"Gola",28.05,80.53
606,"Golakganj",26.13,89.87
607,"Gomati",25.53,83.18
608,"Gomoh",23.87,86.17
609,"Gonda",27.15,81.97
610,"Gondal",21.97,70.87
611,"Gondia",21.38,80.17
612,"Gop",22.08,69.83
613,"Gopalganj",26.47,84.5
614,"Gorakhpur",26.78,83.38
615,"Goriganga",29.75,80.38
616,"Govindgarh",24.38,81.3
617,"Great Indian Desert/Thar Desert",28,72
618,"Gua",22.3,85.33
619,"Gudur",14.2,79.92
620,"Gujarat",23.33,71
621,"Gulbarga",17.33,76.83
622,"Gulmarg",34.05,74.42
623,"Gumla",23.05,84.55
624,"Guna",24.67,77.32
625,"Guntakal",15.18,77.45
626,"Guntur",16.38,80.5
627,"Gurdaspur",32.08,75.52
628,"Gurgaon",28.45,77.02
629,"Gurha",25.2,71.65
630,"Guwahati",26.17,91.75
631,"Gwalior",26.2,78.17
632,"Haflong",25.17,93.08
633,"Haidargarh",26.62,81.37
634,"Hajipur",25.75,85.22
635,"Haldia",22.08,88.05
636,"Haldwani",29.52,79.5
637,"Halia",24.83,82.32
638,"Halvad",23.02,71.18
639,"Hamirpur H.P.",31.68,76.52
640,"Hamirpur, Ut. P.",25.95,80.15
641,"Handwara",34.35,74.33
642,"Hanle",32.7,79.07
643,"Hansdiha",24.6,87.08
644,"Hansi",29.17,75.95
645,"Hanumangarh",29.58,74.32
646,"Haora",22.62,88.33
647,"Hapur",28.75,77.75
648,"Harda",22.45,77.08
649,"Hardoi",27.43,80.1
650,"Hardwar/Haridwar",29.97,78.15
651,"Haridwar",29.97,78.15
652,"Harrai",22.62,79.22
653,"Harsud",22.1,76.73
654,"Haryana",29,76.17
655,"Hasdo",21.73,82.73
656,"Hathras",27.6,78.1
657,"Hatta",24.12,79.6
658,"Hazaribag",23.97,85.43
659,"Hazaribag Road",24.2,85.95
660,"Himachal Pradesh",31.5,77
661,"Himatnagar",23.62,72.95
662,"Hindaun",26.73,77.08
663,"Hindupur",13.82,77.53
664,"Hinganghat",20.5,78.87
665,"Hingir",21.95,83.68
666,"Hingoli",19.68,77.25
667,"Hirakud Dam",21.53,83.75
668,"Hiran",23.1,79.35
669,"Hirapur",24.37,79.22
670,"Hisar",29.2,75.75
671,"Hooghly/Hugli",21.93,88.07
672,"Hooghly-Chinsura/Chunchura",22.88,88.45
673,"Hoshangabad",22.75,77.75
674,"Hoshiarpur",31.5,75.97
675,"Hospet",15.25,76.33
676,"Howrah/Haora",22.62,88.33
677,"Hugli",21.93,88.07
678,"Hunza",35.9,74.33
679,"Hyderabad",17.37,78.48
680,"Hymia",33.67,78.03
681,"Ib",21.57,83.8
682,"Ichchapuram",19.17,84.67
683,"Ichhawar",23.02,77.02
684,"Imphal",24.8,93.93
685,"Indore",22.7,75.88
686,"Indravati",19.33,80.33
687,"Ingraj Bazar",24.97,88.17
688,"Isagarh",24.8,77.85
689,"Isan",26.85,80.12
690,"Islampur",25.15,85.2
691,"Isogstalo",34.25,78.77
692,"Itarsi",22.6,77.85
693,"Jabalpur",29.15,79.97
694,"Jafarabad",20.87,71.37
695,"Jagadhri",30.17,77.33
696,"Jagadishpur",25.5,84.35
697,"Jagdalpur",19.05,82
698,"Jagraon",30.83,75.42
699,"Jagital",18.83,79
700,"Jahanabad",22.58,81.12
701,"Jahazpur",25.22,84.98
702,"Jaijon",31.35,76.15
703,"Jaipur",27,75.83
704,"Jais",26.25,81.53
705,"Jaisalmer",26.92,70.9
706,"Jaisinghnagar",23.63,78.57
707,"Jaitaran",26.2,73.93
708,"Jaithari",23.23,78.62
709,"Jakam",23.9,74.22
710,"Jakhal",29.8,75.83
711,"Jakhau",23.22,68.72
712,"Jalalabad",27.68,79.7
713,"Jalaun",26.13,79.42
714,"Jalesar",27.48,78.32
715,"Jalgaon",21,75.7
716,"Jalna",19.8,75.63
717,"Jalor",25.35,72.62
718,"Jalpaiguri",26.53,88.77
719,"Jamalpur",25.3,86.47
720,"Jamalpurganj",23.03,87.98
721,"Jambusar",22.05,72.85
722,"Jamira",21.58,88.47
723,"Jamkhandi",16.5,75.25
724,"Jammu",32.72,74.9
725,"Jammu & Kashmir",34.42,77
726,"Jamnagar",22.5,70.1
727,"Jamni",25.22,78.58
728,"Jamshedpur",22.07,86.2
729,"Jamtara",23.98,86.82
730,"Janghai",25.55,82.32
731,"Janjgir",22.02,82.57
732,"Jaora",23.67,75.17
733,"Japla",24.55,84.02
734,"Jarwa",27.63,82.5
735,"Jasdan",22.03,71.2
736,"Jashpurnagar",22.9,84.15
737,"Jasidih",24.52,86.65
738,"Jaso",24.5,80.48
739,"Jasrasar",27.72,73.82
740,"Jaunpur",25.77,82.07
741,"Jawad",24.6,74.85
742,"Jayanti",26.75,89.67
743,"Jaynagar",26.72,86.15
744,"Jetpur",21.75,70.17
745,"Jeypore",18.83,82.63
746,"Jha Jha",24.77,86.37
747,"Jhaarkand/Jharkhand",24,85.83
748,"Jhabua",22.77,74.6
749,"Jhajjar",28.62,76.7
750,"Jhalawar",24.67,76.17
751,"Jhalida",23.37,85.97
752,"Jhalrapatan",24.55,76.17
753,"Jhansi",25.5,78.6
754,"Jhargram",22.45,86.98
755,"Jharia",23.75,86.43
756,"Jharkhand",24,85.83
757,"Jharsuguda",21.93,84.08
758,"Jhilmilli",23.4,82.85
759,"Jhunjhunu",28.17,75.5
760,"Jido",29.03,94.97
761,"Jigni",25.75,79.42
762,"Jind",29.32,76.37
763,"Jobat",22.42,74.57
764,"Jodhpur",26.38,73.13
765,"Jodiya",22.7,70.3
766,"Jogbani",26.42,87.25
767,"Johilla",23.62,81.23
768,"Jora",26.33,77.82
769,"Jorhat",26.75,94.2
770,"Joshinath",30.57,79.57
771,"Jubbal",31.08,77.67
772,"Jubbulpore/Jabalpur",23.15,79.97
773,"Jullundur",31.33,75.67
774,"Jumna/Yamuna",25.5,81.88
775,"Junagadh",21.5,70.5
776,"Kachchh, Gulf of",22.83,69.25
777,"Kachchh, Rann of",24,70
